label,rows_total,rows_removed,anomaly_rate,median_duration
fall in love,6,2,0.3333333333333333,2.6675
hat,12,4,0.3333333333333333,2.6064999999999996
cow,12,4,0.3333333333333333,2.4675000000000002
hair,12,4,0.3333333333333333,2.8695
guess,6,2,0.3333333333333333,2.8845
curtain,3,1,0.3333333333333333,2.628
hate,6,2,0.3333333333333333,2.434
almost,6,2,0.3333333333333333,2.5564999999999998
cook,12,4,0.3333333333333333,2.8345000000000002
interpret,6,2,0.3333333333333333,2.3765
investigate,9,3,0.3333333333333333,2.8
hot,15,5,0.3333333333333333,2.1355
innocent,6,2,0.3333333333333333,2.2
india,6,2,0.3333333333333333,2.5
curse,6,2,0.3333333333333333,2.7515
here,9,3,0.3333333333333333,2.5175
girlfriend,6,2,0.3333333333333333,2.718
fire,3,1,0.3333333333333333,2.3525
garage,6,2,0.3333333333333333,2.319
soccer,6,2,0.3333333333333333,2.801
someone,6,2,0.3333333333333333,2.6675
vlog,3,1,0.3333333333333333,2.2104999999999997
french,6,2,0.3333333333333333,2.3840000000000003
bath,9,3,0.3333333333333333,2.8195
bathroom,9,3,0.3333333333333333,2.9859999999999998
feed,6,2,0.3333333333333333,2.918
flood,6,2,0.3333333333333333,3.001
smoking,3,1,0.3333333333333333,2.369
battery,3,1,0.3333333333333333,3.74
fishing,9,3,0.3333333333333333,2.8194999999999997
fish,12,4,0.3333333333333333,2.7015000000000002
congratulations,3,1,0.3333333333333333,2.3689999999999998
lamp,3,1,0.3333333333333333,2.051
jump,6,2,0.3333333333333333,2.6515
kangaroo,3,1,0.3333333333333333,2.38
and,6,2,0.3333333333333333,2.581
kill,9,3,0.3333333333333333,2.0
black,12,4,0.3333333333333333,2.6174999999999997
scientist,6,2,0.3333333333333333,3.704
satisfy,6,2,0.3333333333333333,2.9844999999999997
same,9,3,0.3333333333333333,2.0895
salute,6,2,0.3333333333333333,3.035
interest,9,3,0.3333333333333333,3.2
joke,3,1,0.3333333333333333,2.9015000000000004
think,9,3,0.3333333333333333,2.434
together,6,2,0.3333333333333333,2.878
triangle,6,2,0.3333333333333333,2.7845
side,6,2,0.3333333333333333,1.962
mention,3,1,0.3333333333333333,1.688
match,6,2,0.3333333333333333,2.835
long,6,2,0.3333333333333333,2.1189999999999998
look at,3,1,0.3333333333333333,2.32
prison,6,2,0.3333333333333333,2.7030000000000003
promote,3,1,0.3333333333333333,3.7565
breeze,3,1,0.3333333333333333,2.6985
april,6,2,0.3333333333333333,3.337
major,6,2,0.3333333333333333,2.5195
come here,6,2,0.3333333333333333,1.4015
ruin,6,2,0.3333333333333333,2.1765
computer,18,6,0.3333333333333333,2.151
resist,3,1,0.3333333333333333,2.093
request,6,2,0.3333333333333333,2.3345
regular,3,1,0.3333333333333333,2.7965
chicken,6,2,0.3333333333333333,2.5115
much,6,2,0.3333333333333333,2.5265
neighbor,9,3,0.3333333333333333,2.6109999999999998
negotiate,6,2,0.3333333333333333,2.6615
themselves,6,2,0.3333333333333333,2.193
thanksgiving,12,4,0.3333333333333333,2.736
army,6,2,0.3333333333333333,3.0715
poor,9,3,0.3333333333333333,2.7024999999999997
overlook,6,2,0.3333333333333333,1.94
pause,6,2,0.3333333333333333,2.751
pass,6,2,0.3333333333333333,2.8179999999999996
can,9,3,0.3333333333333333,2.0185
bull,6,2,0.3333333333333333,2.493
bug,3,1,0.3333333333333333,2.198
page,6,2,0.3333333333333333,2.751
plan,9,3,0.3333333333333333,2.6675
pickle,3,1,0.3333333333333333,2.15
picture,9,3,0.3333333333333333,2.5745
pear,3,1,0.3333333333333333,2.3200000000000003
permit,6,2,0.3333333333333333,2.458
sweetheart,9,3,0.3333333333333333,2.7615
summon,6,2,0.3333333333333333,2.393
witness,6,2,0.3333333333333333,2.7015000000000002
plus,9,3,0.3333333333333333,1.8765
education,6,2,0.3333333333333333,2.7015000000000002
eat,9,3,0.3333333333333333,2.34
enter,9,3,0.3333333333333333,2.8345000000000002
engagement,3,1,0.3333333333333333,2.9415
each,6,2,0.3333333333333333,2.7350000000000003
window,9,3,0.3333333333333333,2.62
will,9,3,0.3333333333333333,2.8195
africa,12,4,0.3333333333333333,2.0854999999999997
paper,13,4,0.3076923076923077,2.569
bird,13,4,0.3076923076923077,2.8015
teach,10,3,0.3,2.733
off,10,3,0.3,2.536
noon,10,3,0.3,3.036
green,10,3,0.3,2.669
always,10,3,0.3,2.636
full,10,3,0.3,3.066
decide,10,3,0.3,2.4
father,10,3,0.3,2.903
ball,10,3,0.3,2.97
transfer,10,3,0.3,1.835
salt,10,3,0.3,2.703
remember,10,3,0.3,2.633
right,10,3,0.3,2.402
large,10,3,0.3,1.935
russia,10,3,0.3,1.867
read,10,3,0.3,2.903
list,10,3,0.3,3.136
most,10,3,0.3,2.52
sick,10,3,0.3,2.803
tent,10,3,0.3,2.68
temperature,10,3,0.3,3.203
not,10,3,0.3,2.202
walk,10,3,0.3,2.7
wife,10,3,0.3,2.8
with,10,3,0.3,2.703
have,10,3,0.3,2.033
approve,10,3,0.3,3.52
few,7,2,0.2857142857142857,2.366
sunset,7,2,0.2857142857142857,3.036
experiment,7,2,0.2857142857142857,2.833
fight,7,2,0.2857142857142857,2.466
talk,7,2,0.2857142857142857,2.769
desert,7,2,0.2857142857142857,3.2
deodorant,7,2,0.2857142857142857,2.903
for,7,2,0.2857142857142857,2.366
other,7,2,0.2857142857142857,2.703
pants,7,2,0.2857142857142857,2.402
bear,7,2,0.2857142857142857,3.16
bus,7,2,0.2857142857142857,3.17
every,7,2,0.2857142857142857,2.903
event,7,2,0.2857142857142857,2.28
policy,7,2,0.2857142857142857,2.669
build,7,2,0.2857142857142857,2.12
curriculum,7,2,0.2857142857142857,2.502
cup,7,2,0.2857142857142857,2.366
suppose,7,2,0.2857142857142857,2.97
turkey,7,2,0.2857142857142857,2.002
vacation,7,2,0.2857142857142857,2.469
america,7,2,0.2857142857142857,3.48
avoid,7,2,0.2857142857142857,2.936
strict,7,2,0.2857142857142857,2.866
staff,7,2,0.2857142857142857,2.566
skinny,7,2,0.2857142857142857,2.87
patient,7,2,0.2857142857142857,1.969
out,7,2,0.2857142857142857,2.269
camp,7,2,0.2857142857142857,2.36
phone,7,2,0.2857142857142857,2.72
flag,7,2,0.2857142857142857,3.3
situation,7,2,0.2857142857142857,2.733
bark,7,2,0.2857142857142857,2.603
secret,7,2,0.2857142857142857,2.669
movie,7,2,0.2857142857142857,2.6
send,7,2,0.2857142857142857,2.7
cause,7,2,0.2857142857142857,2.64
challenge,7,2,0.2857142857142857,2.669
mushroom,7,2,0.2857142857142857,1.835
museum,7,2,0.2857142857142857,2.603
half,7,2,0.2857142857142857,2.56
october,7,2,0.2857142857142857,2.48
crazy,7,2,0.2857142857142857,3.2
hello,7,2,0.2857142857142857,2.302
chocolate,7,2,0.2857142857142857,2.836
hard,7,2,0.2857142857142857,2.266
interview,7,2,0.2857142857142857,2.333
introduce,7,2,0.2857142857142857,2.2
mom,7,2,0.2857142857142857,2.536
area,7,2,0.2857142857142857,3.036
tell,7,2,0.2857142857142857,2.566
arrest,7,2,0.2857142857142857,1.001
corner,7,2,0.2857142857142857,2.502
believe,7,2,0.2857142857142857,2.28
serious,7,2,0.2857142857142857,2.966
best,7,2,0.2857142857142857,2.736
next,7,2,0.2857142857142857,2.636
toilet,7,2,0.2857142857142857,2.366
question,7,2,0.2857142857142857,2.836
program,7,2,0.2857142857142857,2.336
roof,7,2,0.2857142857142857,2.069
israel,7,2,0.2857142857142857,2.8
land,7,2,0.2857142857142857,3.036
separate,7,2,0.2857142857142857,2.601
classroom,7,2,0.2857142857142857,3.203
join,7,2,0.2857142857142857,2.166
lucky,7,2,0.2857142857142857,1.101
retire,7,2,0.2857142857142857,2.266
both,7,2,0.2857142857142857,3.036
lazy,7,2,0.2857142857142857,2.87
yourself,7,2,0.2857142857142857,1.835
climb,7,2,0.2857142857142857,3.17
clock,7,2,0.2857142857142857,2.736
which,7,2,0.2857142857142857,2.28
square,7,2,0.2857142857142857,2.933
age,7,2,0.2857142857142857,2.469
end,7,2,0.2857142857142857,2.24
white,14,4,0.2857142857142857,2.452
again,11,3,0.2727272727272727,2.6180000000000003
dog,11,3,0.2727272727272727,2.5445
south,11,3,0.2727272727272727,2.218
want,11,3,0.2727272727272727,2.3520000000000003
water,11,3,0.2727272727272727,2.9364999999999997
lose,11,3,0.2727272727272727,2.419
purple,11,3,0.2727272727272727,2.5525
language,11,3,0.2727272727272727,1.9394999999999998
enjoy,11,3,0.2727272727272727,2.8865
learn,11,3,0.2727272727272727,2.768
check,11,3,0.2727272727272727,2.8529999999999998
shirt,11,3,0.2727272727272727,2.8695
tired,11,3,0.2727272727272727,2.8025
brown,11,3,0.2727272727272727,2.736
student,11,3,0.2727272727272727,2.5845000000000002
sunday,11,3,0.2727272727272727,2.785
yellow,11,3,0.2727272727272727,2.4695
orange,15,4,0.26666666666666666,2.933
dizzy,4,1,0.25,3.3
adjust,4,1,0.25,3.3
admit,4,1,0.25,2.97
w,4,1,0.25,2.502
wednesday,8,2,0.25,2.7359999999999998
medicine,8,2,0.25,3.7015000000000002
address,4,1,0.25,2.936
meeting,8,2,0.25,2.378
many,12,3,0.25,2.7
marry,8,2,0.25,2.3475
clueless,4,1,0.25,2.833
sorry,8,2,0.25,3.235
egypt,8,2,0.25,2.3845
effort,4,1,0.25,4.166
spain,8,2,0.25,1.93
whatever,4,1,0.25,2.34
during,8,2,0.25,2.46
easy,8,2,0.25,2.6175
doll,8,2,0.25,2.92
license,4,1,0.25,2.202
lettuce,8,2,0.25,2.1855
left,4,1,0.25,2.766
compare,8,2,0.25,2.751
rule,8,2,0.25,2.46
bored,4,1,0.25,2.466
box,8,2,0.25,3.318
league,4,1,0.25,1.88
ridiculous,4,1,0.25,3.27
research,8,2,0.25,3.218
king,8,2,0.25,2.583
restroom,4,1,0.25,2.569
knife,8,2,0.25,2.8645
k,4,1,0.25,2.903
twin,4,1,0.25,2.3
compete,4,1,0.25,3.233
type,4,1,0.25,2.436
u,4,1,0.25,2.903
scan,4,1,0.25,3.6
sentence,8,2,0.25,2.131
boast,4,1,0.25,3.637
s,4,1,0.25,3.437
mine,4,1,0.25,2.502
scream,4,1,0.25,2.52
m,4,1,0.25,2.736
loan,4,1,0.25,3.166
collect,4,1,0.25,2.736
comfortable,8,2,0.25,2.1109999999999998
commit,4,1,0.25,2.87
aid,4,1,0.25,3.0
e,4,1,0.25,3.103
enormous,4,1,0.25,3.366
principal,4,1,0.25,2.603
pull,12,3,0.25,2.62
q,4,1,0.25,3.57
purchase,4,1,0.25,3.366
bribe,4,1,0.25,3.203
r,4,1,0.25,2.336
cigarette,4,1,0.25,3.036
choose,4,1,0.25,2.76
japan,8,2,0.25,2.52
money,8,2,0.25,2.4855
mosquito,4,1,0.25,2.903
microwave,8,2,0.25,2.2645
continue,8,2,0.25,2.6195000000000004
convert,4,1,0.25,2.7
tobacco,4,1,0.25,3.1799999999999997
prefer,4,1,0.25,2.933
tempt,4,1,0.25,2.169
this,4,1,0.25,2.035
i,4,1,0.25,3.503
mind,4,1,0.25,2.733
sister,8,2,0.25,2.091
shoes,8,2,0.25,2.7359999999999998
shop,4,1,0.25,3.267
husband,8,2,0.25,2.668
shout,4,1,0.25,3.003
bike,4,1,0.25,3.67
none,8,2,0.25,2.6814999999999998
night,8,2,0.25,2.6195000000000004
midnight,4,1,0.25,2.536
military,4,1,0.25,2.84
ireland,4,1,0.25,2.12
therefore,4,1,0.25,1.88
cheat,8,2,0.25,1.915
cheerleader,4,1,0.25,2.4
hill,4,1,0.25,2.4
hour,8,2,0.25,2.7025
heaven,4,1,0.25,3.136
crash,8,2,0.25,2.651
crave,4,1,0.25,2.536
hockey,4,1,0.25,2.936
head,8,2,0.25,2.3600000000000003
guilty,4,1,0.25,2.233
gymnastics,4,1,0.25,3.437
h,4,1,0.25,2.536
o,4,1,0.25,2.569
occur,4,1,0.25,2.7
prince,4,1,0.25,2.569
hanukkah,4,1,0.25,2.766
princess,4,1,0.25,3.103
bring,8,2,0.25,2.8025
preacher,4,1,0.25,2.68
poop,4,1,0.25,2.269
pink,12,3,0.25,2.402
pizza,12,3,0.25,2.502
article,4,1,0.25,4.233
d,4,1,0.25,3.036
amazing,4,1,0.25,2.903
until,8,2,0.25,2.3339999999999996
up,8,2,0.25,2.0855
upstairs,4,1,0.25,2.12
my,8,2,0.25,2.3674999999999997
n,4,1,0.25,2.502
music,8,2,0.25,2.551
j,4,1,0.25,2.369
debt,4,1,0.25,2.536
date,4,1,0.25,2.236
truth,4,1,0.25,2.4
v,4,1,0.25,3.103
still,4,1,0.25,3.237
sting,4,1,0.25,2.0
award,4,1,0.25,3.036
august,8,2,0.25,2.769
stairs,4,1,0.25,2.6
before,16,4,0.25,2.7830000000000004
pet,4,1,0.25,2.669
pick,4,1,0.25,1.72
camping,4,1,0.25,2.97
olympics,4,1,0.25,2.633
story,4,1,0.25,2.52
sugar,8,2,0.25,2.534
or,4,1,0.25,2.6
careless,4,1,0.25,2.733
cat,8,2,0.25,2.3745
gasoline,4,1,0.25,2.4
g,4,1,0.25,2.569
gallaudet,4,1,0.25,1.72
department,4,1,0.25,2.52
four,4,1,0.25,1.84
free,4,1,0.25,2.4
flower,8,2,0.25,2.5675
soap,8,2,0.25,2.6025
soldier,4,1,0.25,2.68
basement,8,2,0.25,2.8280000000000003
sleep,8,2,0.25,2.5025
opinion,8,2,0.25,2.6845
straight,8,2,0.25,2.3129999999999997
ski,4,1,0.25,2.06
sit,8,2,0.25,1.9675000000000002
skill,4,1,0.25,2.333
firefighter,4,1,0.25,2.703
determine,4,1,0.25,2.569
devil,4,1,0.25,2.133
five,4,1,0.25,1.802
destroy,8,2,0.25,1.983
fat,8,2,0.25,2.903
drop,8,2,0.25,2.184
drug,4,1,0.25,3.036
across,8,2,0.25,2.4699999999999998
action,4,1,0.25,3.36
table,8,2,0.25,2.3689999999999998
fail,8,2,0.25,2.0675
family,12,3,0.25,2.769
suspect,8,2,0.25,3.2750000000000004
tale,4,1,0.25,3.333
t,4,1,0.25,2.936
swing,4,1,0.25,3.733
player,4,1,0.25,3.17
die,4,1,0.25,2.133
expert,8,2,0.25,2.0
plant,4,1,0.25,2.651
express,4,1,0.25,2.92
eyes,4,1,0.25,2.033
everything,4,1,0.25,2.6
f,4,1,0.25,2.836
early,8,2,0.25,1.891
drag,4,1,0.25,2.833
dress,8,2,0.25,3.018
spill,4,1,0.25,1.902
candy,13,3,0.23076923076923078,2.6025
last,9,2,0.2222222222222222,3.003
car,9,2,0.2222222222222222,2.803
weather,9,2,0.2222222222222222,2.4
travel,9,2,0.2222222222222222,2.936
escape,9,2,0.2222222222222222,1.835
east,9,2,0.2222222222222222,2.2
cereal,9,2,0.2222222222222222,2.736
past,9,2,0.2222222222222222,3.16
cheese,9,2,0.2222222222222222,2.803
there,9,2,0.2222222222222222,1.902
restaurant,9,2,0.2222222222222222,2.68
time,9,2,0.2222222222222222,2.52
niece,9,2,0.2222222222222222,2.669
nephew,9,2,0.2222222222222222,2.87
pencil,9,2,0.2222222222222222,2.933
jacket,9,2,0.2222222222222222,2.233
understand,9,2,0.2222222222222222,2.666
disappear,9,2,0.2222222222222222,2.333
tomato,9,2,0.2222222222222222,1.902
tomorrow,9,2,0.2222222222222222,2.569
explain,9,2,0.2222222222222222,3.2
expensive,9,2,0.2222222222222222,2.302
thursday,9,2,0.2222222222222222,2.336
boy,9,2,0.2222222222222222,2.469
some,9,2,0.2222222222222222,2.302
get,9,2,0.2222222222222222,3.103
rabbit,9,2,0.2222222222222222,2.703
humble,9,2,0.2222222222222222,2.12
surgery,9,2,0.2222222222222222,2.12
listen,9,2,0.2222222222222222,2.633
police,9,2,0.2222222222222222,2.436
week,9,2,0.2222222222222222,2.469
problem,9,2,0.2222222222222222,3.003
son,9,2,0.2222222222222222,2.502
stay,9,2,0.2222222222222222,1.969
struggle,9,2,0.2222222222222222,3.08
president,9,2,0.2222222222222222,3.1
class,9,2,0.2222222222222222,2.833
happen,9,2,0.2222222222222222,2.366
happy,9,2,0.2222222222222222,2.733
shape,9,2,0.2222222222222222,2.903
friend,9,2,0.2222222222222222,3.2
symbol,9,2,0.2222222222222222,1.88
who,14,3,0.21428571428571427,2.236
pain,5,1,0.2,3.023
open,5,1,0.2,3.051
earthquake,5,1,0.2,2.74
pay attention,5,1,0.2,3.0515
chair,10,2,0.2,3.0679999999999996
robot,5,1,0.2,2.3579999999999997
transform,5,1,0.2,2.8245
tradition,5,1,0.2,2.058
contribute,5,1,0.2,3.88
sausage,5,1,0.2,2.618
safe,5,1,0.2,3.1535
sauce,5,1,0.2,3.1180000000000003
bowling,10,2,0.2,1.9575
borrow,5,1,0.2,2.635
rubber,5,1,0.2,2.6675
karate,5,1,0.2,1.9665
july,5,1,0.2,2.57
boil,5,1,0.2,3.1115
empty,5,1,0.2,2.5010000000000003
engage,5,1,0.2,2.3565
emergency,5,1,0.2,3.04
allow,5,1,0.2,2.8565
intersection,5,1,0.2,2.7359999999999998
interrupt,5,1,0.2,2.6345
interpreter,5,1,0.2,2.885
internet,10,2,0.2,2.4345
jewish,5,1,0.2,1.8074999999999999
cherry,5,1,0.2,2.5175
physician,5,1,0.2,3.1180000000000003
rush,5,1,0.2,2.575
enough,5,1,0.2,2.893
italy,5,1,0.2,2.62
jail,5,1,0.2,2.4219999999999997
discipline,5,1,0.2,2.9515000000000002
visitor,5,1,0.2,3.295
trouble,5,1,0.2,2.7695
disgusted,5,1,0.2,3.268
evening,5,1,0.2,2.7515
farmer,5,1,0.2,2.893
faculty,5,1,0.2,2.423
anyway,5,1,0.2,2.768
announce,5,1,0.2,3.128
camera,5,1,0.2,2.3355
perfect,5,1,0.2,2.501
percent,5,1,0.2,2.3064999999999998
personality,5,1,0.2,2.8365
tie,5,1,0.2,2.668
relationship,5,1,0.2,3.1015
late,10,2,0.2,2.658
laundry,5,1,0.2,3.2185
leak,5,1,0.2,3.388
waste,5,1,0.2,2.093
envelope,5,1,0.2,2.293
rope,5,1,0.2,2.5780000000000003
robber,5,1,0.2,2.918
resign,5,1,0.2,2.885
river,5,1,0.2,3.2185
confused,5,1,0.2,3.6185
ring,5,1,0.2,2.885
concern,5,1,0.2,3.125
worthless,5,1,0.2,2.1445
odd,5,1,0.2,2.6845
willing,5,1,0.2,2.4145
workshop,5,1,0.2,2.0999999999999996
wrap,5,1,0.2,2.9915000000000003
afraid,5,1,0.2,2.9299999999999997
celebrate,5,1,0.2,2.635
northwest,5,1,0.2,2.32
north,10,2,0.2,2.651
octopus,5,1,0.2,3.1345
children,5,1,0.2,2.803
buy,10,2,0.2,2.768
plenty,5,1,0.2,2.6845
plate,5,1,0.2,2.433
piece,5,1,0.2,2.778
title,5,1,0.2,3.0515
mouse,5,1,0.2,2.668
mouth,5,1,0.2,2.536
federal,5,1,0.2,2.5115
february,5,1,0.2,2.701
more,10,2,0.2,2.7195
monthly,5,1,0.2,3.4015000000000004
favorite,5,1,0.2,2.68
counselor,5,1,0.2,2.58
brag,5,1,0.2,2.968
blame,5,1,0.2,2.168
thick,5,1,0.2,1.464
expand,5,1,0.2,2.198
company,5,1,0.2,2.451
from now on,5,1,0.2,1.3679999999999999
take up,5,1,0.2,1.8575
possible,5,1,0.2,2.7845
deposit,5,1,0.2,2.4645
arrive,10,2,0.2,2.636
swim,5,1,0.2,3.1585
lesbian,5,1,0.2,2.6845
include,5,1,0.2,2.7515
comment,5,1,0.2,2.901
then,5,1,0.2,2.1180000000000003
around,5,1,0.2,3.752
thailand,5,1,0.2,2.551
china,5,1,0.2,2.7715
popular,5,1,0.2,3.0815
popcorn,5,1,0.2,2.6065
misunderstand,5,1,0.2,3.0515
house,10,2,0.2,2.6189999999999998
shrimp,5,1,0.2,1.963
sweden,5,1,0.2,1.6185
tea,10,2,0.2,2.318
sweater,5,1,0.2,2.9015000000000004
referee,5,1,0.2,2.568
serve,5,1,0.2,2.6845
lip,5,1,0.2,2.833
sign,10,2,0.2,3.1180000000000003
audience,5,1,0.2,2.5915
democrat,5,1,0.2,2.668
deny,5,1,0.2,2.3165
technology,5,1,0.2,4.08
fourth,5,1,0.2,2.5115
austria,5,1,0.2,3.628
mexico,5,1,0.2,2.8680000000000003
available,5,1,0.2,2.968
sign language,5,1,0.2,2.8515
holy,5,1,0.2,2.935
sensitive,5,1,0.2,2.608
attend,5,1,0.2,3.3515
say,5,1,0.2,2.7695
institute,5,1,0.2,2.345
hope,10,2,0.2,2.0575
letter,10,2,0.2,2.9015
seven,5,1,0.2,2.1475
red,10,2,0.2,2.4345
librarian,5,1,0.2,3.075
than,5,1,0.2,2.3245
ghost,5,1,0.2,2.733
german,5,1,0.2,2.42
generation,5,1,0.2,3.285
hide,5,1,0.2,2.7675
six,5,1,0.2,2.1375
bed,10,2,0.2,2.38
honor,5,1,0.2,3.0915
honey,5,1,0.2,2.4690000000000003
burp,5,1,0.2,2.175
home,10,2,0.2,2.768
prostitute,5,1,0.2,3.2
coconut,5,1,0.2,2.8520000000000003
furniture,5,1,0.2,2.261
provide,5,1,0.2,2.901
coffee,10,2,0.2,3.8285
statistics,5,1,0.2,2.6515
brief,5,1,0.2,3.001
priest,5,1,0.2,1.958
price,5,1,0.2,2.4345
sleepy,5,1,0.2,2.9844999999999997
metal,5,1,0.2,2.1180000000000003
broke,5,1,0.2,2.269
clear,5,1,0.2,2.3415
message,5,1,0.2,3.02
cruel,5,1,0.2,2.293
sneeze,5,1,0.2,2.585
small,10,2,0.2,1.7145000000000001
society,5,1,0.2,2.2415000000000003
socks,5,1,0.2,2.9515000000000002
puzzled,5,1,0.2,1.67
proof,5,1,0.2,2.501
stuck,5,1,0.2,1.99
somewhere,5,1,0.2,3.051
grass,5,1,0.2,3.0695
something,5,1,0.2,2.918
b,5,1,0.2,2.995
go,10,2,0.2,2.151
bad,10,2,0.2,2.519
habit,5,1,0.2,2.7845
speak,5,1,0.2,2.851
me,5,1,0.2,2.3025
click,5,1,0.2,3.0845000000000002
pumpkin,5,1,0.2,3.1115
specific,5,1,0.2,2.8015
wish,5,1,0.2,2.419
downstairs,5,1,0.2,2.0575
drawer,5,1,0.2,2.7415
decrease,5,1,0.2,2.8890000000000002
dream,5,1,0.2,2.7915
