org_text,clean_text,start_time,signer_id,signer,start,end,file,label,height,fps,end_time,url,text,box,width,review,split,url_norm,video_id,video_key,local_video_path,has_video,download_status,attempts_used,error_message,fps_out,frame_count_out,video_width_out,video_height_out,duration_sec_out,row_index
telephone,phone,0.0,2,81,0,56,Telephone,120,360.0,29.651,1.889,https://www.youtube.com/watch?v=HPz_C5XM4o4,phone,"[0.0, 0.13323259353637695, 1.0, 0.8751190900802612]",640.0,1.0,train,https://www.youtube.com/watch?v=HPz_C5XM4o4,HPz_C5XM4o4,HPz_C5XM4o4,MS-ASL/videos_MS_ASL_raw/msasl_raw_HPz_C5XM4o4.mp4,True,already_exists,0,,29.65103384878455,205.0,640.0,360.0,6.913755555555555,10
telephone,phone,2.462,2,81,73,123,Telephone,120,360.0,29.651,4.148,https://www.youtube.com/watch?v=HPz_C5XM4o4,phone,"[0.0, 0.13323259353637695, 1.0, 0.8751190900802612]",640.0,1.0,train,https://www.youtube.com/watch?v=HPz_C5XM4o4,HPz_C5XM4o4,HPz_C5XM4o4,MS-ASL/videos_MS_ASL_raw/msasl_raw_HPz_C5XM4o4.mp4,True,already_exists,0,,29.65103384878455,205.0,640.0,360.0,6.913755555555555,11
telephone,phone,4.991,2,81,148,196,Telephone,120,360.0,29.651,6.61,https://www.youtube.com/watch?v=HPz_C5XM4o4,phone,"[0.0, 0.13323259353637695, 1.0, 0.8751190900802612]",640.0,1.0,train,https://www.youtube.com/watch?v=HPz_C5XM4o4,HPz_C5XM4o4,HPz_C5XM4o4,MS-ASL/videos_MS_ASL_raw/msasl_raw_HPz_C5XM4o4.mp4,True,already_exists,0,,29.65103384878455,205.0,640.0,360.0,6.913755555555555,12
LIBRARY,library,0.0,0,-1,0,73,LIBRARY(2),168,360.0,25.0,2.92,https://www.youtube.com/watch?v=S2cqitZ0qes,library,"[0.021932870149612427, 0.17817333340644836, 0.995293378829956, 0.8944110870361328]",480.0,,train,https://www.youtube.com/watch?v=S2cqitZ0qes,S2cqitZ0qes,S2cqitZ0qes,MS-ASL/videos_MS_ASL_raw/msasl_raw_S2cqitZ0qes.mp4,True,already_exists,0,,25.0,75.0,480.0,360.0,3.0,13
germany,germany,0.0,4,46,0,36,SignSchool Germany 3,193,360.0,29.97,1.201,www.youtube.com/watch?v=zqfcp6NRKpA,germany,"[0.10457548499107361, 0.23188011348247528, 1.0, 0.7407175898551941]",640.0,,train,https://www.youtube.com/watch?v=zqfcp6NRKpA,zqfcp6NRKpA,zqfcp6NRKpA,,False,failed,1,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\kacpe\\AppData\\Local\\Temp\\msasl_raw_qnf43rxb\\raw.%(ext)s', '--no-cache-dir', 'https://www.youtube.com/watch?v=zqfcp6NRKpA']' returned non-zero exit status 1.",,,,,,14
like,like,0.0,269,53,0,52,SignSchool really like,6,360.0,29.97,1.735,www.youtube.com/watch?v=7y5Ye-2-ZBs,like,"[0.04046148061752319, 0.3353118896484375, 0.998772382736206, 0.886972963809967]",640.0,,train,https://www.youtube.com/watch?v=7y5Ye-2-ZBs,7y5Ye-2-ZBs,7y5Ye-2-ZBs,,False,failed,1,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\kacpe\\AppData\\Local\\Temp\\msasl_raw_0kpc3uvs\\raw.%(ext)s', '--no-cache-dir', 'https://www.youtube.com/watch?v=7y5Ye-2-ZBs']' returned non-zero exit status 1.",,,,,,15
COCHLEAR IMPLANT-[bent V version],cochlear implant,0.0,0,0,0,112,COCHLEAR IMPLANT-bent V version,916,720.0,29.97,3.737,https://www.youtube.com/watch?v=I_QDeKcyvns,cochlear implant,"[0.01584610342979431, 0.24385881423950195, 1.0, 0.7607566118240356]",1280.0,,train,https://www.youtube.com/watch?v=I_QDeKcyvns,I_QDeKcyvns,I_QDeKcyvns,MS-ASL/videos_MS_ASL_raw/msasl_raw_I_QDeKcyvns.mp4,True,already_exists,0,,29.97002997002997,115.0,640.0,360.0,3.8371666666666666,16
rainbow ,rainbow,1.804,144,-1,54,165,rainbow - ASL sign for rainbow,669,360.0,29.934,5.512,https://www.youtube.com/watch?v=WeAFuzYTdtU,rainbow,"[0.004803866147994995, 0.0, 1.0, 0.9657534956932068]",480.0,1.0,train,https://www.youtube.com/watch?v=WeAFuzYTdtU,WeAFuzYTdtU,WeAFuzYTdtU,MS-ASL/videos_MS_ASL_raw/msasl_raw_WeAFuzYTdtU.mp4,True,already_exists,0,,29.9704972296179,833.0,480.0,360.0,27.794,17
rainbow ,rainbow,5.813,144,-1,174,269,rainbow - ASL sign for rainbow,669,360.0,29.934,8.986,https://www.youtube.com/watch?v=WeAFuzYTdtU,rainbow,"[0.004803866147994995, 0.0, 1.0, 0.9657534956932068]",480.0,1.0,train,https://www.youtube.com/watch?v=WeAFuzYTdtU,WeAFuzYTdtU,WeAFuzYTdtU,MS-ASL/videos_MS_ASL_raw/msasl_raw_WeAFuzYTdtU.mp4,True,already_exists,0,,29.9704972296179,833.0,480.0,360.0,27.794,18
rainbow ,rainbow,9.354,144,-1,280,435,rainbow - ASL sign for rainbow,669,360.0,29.934,14.532,https://www.youtube.com/watch?v=WeAFuzYTdtU,rainbow,"[0.004803866147994995, 0.0, 1.0, 0.9657534956932068]",480.0,1.0,train,https://www.youtube.com/watch?v=WeAFuzYTdtU,WeAFuzYTdtU,WeAFuzYTdtU,MS-ASL/videos_MS_ASL_raw/msasl_raw_WeAFuzYTdtU.mp4,True,already_exists,0,,29.9704972296179,833.0,480.0,360.0,27.794,19
LETTER,letter,0.0,0,-1,0,73,LETTER(3),579,360.0,25.0,2.92,https://www.youtube.com/watch?v=sKbKzPIaFNA,letter,"[0.07240766286849976, 0.1571163535118103, 0.9481772184371948, 0.8969380855560303]",480.0,,train,https://www.youtube.com/watch?v=sKbKzPIaFNA,sKbKzPIaFNA,sKbKzPIaFNA,MS-ASL/videos_MS_ASL_raw/msasl_raw_sKbKzPIaFNA.mp4,True,already_exists,0,,25.0,75.0,480.0,360.0,3.0,20
FROM,from,0.0,0,-1,0,68,FROM(1),298,240.0,30.0,2.267,https://www.youtube.com/watch?v=fQ58eciJmCY,from,"[0.034245312213897705, 0.17717868089675903, 0.9956982731819153, 0.8752913475036621]",320.0,,train,https://www.youtube.com/watch?v=fQ58eciJmCY,fQ58eciJmCY,fQ58eciJmCY,MS-ASL/videos_MS_ASL_raw/msasl_raw_fQ58eciJmCY.mp4,True,already_exists,0,,30.0,69.0,320.0,240.0,2.3,21
its/his/her,his,0.0,62,-1,0,108,Sign ITSHISHER,771,360.0,30.0,3.6,https://www.youtube.com/watch?v=GYWm0gdybFA,his,"[0.0, 0.1818615198135376, 1.0, 0.8756287097930908]",640.0,,train,https://www.youtube.com/watch?v=GYWm0gdybFA,GYWm0gdybFA,GYWm0gdybFA,MS-ASL/videos_MS_ASL_raw/msasl_raw_GYWm0gdybFA.mp4,True,already_exists,0,,30.0,111.0,640.0,360.0,3.7,22
HONG KONG-[fingerspelled-version],hong kong,0.0,0,0,0,72,HONG KONG-fingerspelled-version,906,360.0,29.97,2.402,https://www.youtube.com/watch?v=PIfDfi4Qx60,hong kong,"[0.06418925523757935, 0.26669347286224365, 1.0, 0.7477506399154663]",640.0,,train,https://www.youtube.com/watch?v=PIfDfi4Qx60,PIfDfi4Qx60,PIfDfi4Qx60,MS-ASL/videos_MS_ASL_raw/msasl_raw_PIfDfi4Qx60.mp4,True,already_exists,0,,29.97002997002997,74.0,640.0,360.0,2.469133333333333,23
EVERY MORNING,every morning,0.0,0,-1,0,48,EVERY MORNING,606,360.0,25.0,1.92,https://www.youtube.com/watch?v=fv1nQoXRlsI,every morning,"[0.06080403923988342, 0.19459614157676697, 0.998343825340271, 0.9219321012496948]",480.0,,train,https://www.youtube.com/watch?v=fv1nQoXRlsI,fv1nQoXRlsI,fv1nQoXRlsI,MS-ASL/videos_MS_ASL_raw/msasl_raw_fv1nQoXRlsI.mp4,True,already_exists,0,,25.0,50.0,480.0,360.0,2.0,24
french,france,0.0,2,42,0,108,French,95,360.0,29.669,3.64,https://www.youtube.com/watch?v=iJuIO4n0-VU,france,"[0.0, 0.13540801405906677, 1.0, 0.8297390937805176]",640.0,,train,https://www.youtube.com/watch?v=iJuIO4n0-VU,iJuIO4n0-VU,iJuIO4n0-VU,MS-ASL/videos_MS_ASL_raw/msasl_raw_iJuIO4n0-VU.mp4,True,already_exists,0,,29.669,109.0,640.0,360.0,3.673868347433348,25
GIVE (alternative),give,0.0,0,-1,0,49,GIVE (alternative),288,360.0,25.0,1.96,https://www.youtube.com/watch?v=7G6B6kaMjb4,give,"[0.01520085334777832, 0.20926496386528015, 0.9955700039863586, 0.8501784801483154]",480.0,,train,https://www.youtube.com/watch?v=7G6B6kaMjb4,7G6B6kaMjb4,7G6B6kaMjb4,MS-ASL/videos_MS_ASL_raw/msasl_raw_7G6B6kaMjb4.mp4,True,already_exists,0,,25.0,51.0,480.0,360.0,2.04,26
shock-[BRAIN-FREEZE],shock,0.0,0,-1,0,75,shock-BRAIN-FREEZE,589,360.0,29.98,2.502,https://www.youtube.com/watch?v=XCiFsGrb_Nk,shock,"[0.07998833060264587, 0.22411012649536133, 1.0, 0.8156325817108154]",640.0,,train,https://www.youtube.com/watch?v=XCiFsGrb_Nk,XCiFsGrb_Nk,XCiFsGrb_Nk,MS-ASL/videos_MS_ASL_raw/msasl_raw_XCiFsGrb_Nk.mp4,True,already_exists,0,,29.97002997002997,77.0,640.0,360.0,2.5692333333333335,27
PUERTO-RICO,puerto rico,0.0,0,0,0,86,PUERTO-RICO,982,360.0,29.97,2.87,https://www.youtube.com/watch?v=NNZD9RAgL4w,puerto rico,"[0.06498023867607117, 0.22959160804748535, 1.0, 0.8081696033477783]",640.0,,train,https://www.youtube.com/watch?v=NNZD9RAgL4w,NNZD9RAgL4w,NNZD9RAgL4w,MS-ASL/videos_MS_ASL_raw/msasl_raw_NNZD9RAgL4w.mp4,True,already_exists,0,,29.97002997002997,88.0,640.0,360.0,2.9362666666666666,28
portugal,portugal,0.0,4,-1,0,44,SignSchool Portugal Portuguese,841,360.0,29.97,1.468,www.youtube.com/watch?v=rYW7VFPi9_w,portugal,"[0.0997249186038971, 0.22059836983680725, 1.0, 0.791817307472229]",640.0,,train,https://www.youtube.com/watch?v=rYW7VFPi9_w,rYW7VFPi9_w,rYW7VFPi9_w,,False,failed,1,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\kacpe\\AppData\\Local\\Temp\\msasl_raw_1i3n7s5m\\raw.%(ext)s', '--no-cache-dir', 'https://www.youtube.com/watch?v=rYW7VFPi9_w']' returned non-zero exit status 1.",,,,,,29
Breakfast  ,breakfast,0.0,5,-1,0,73,ASL Breakfast  ,329,360.0,25.0,2.92,https://www.youtube.com/watch?v=bUezx9Zp16E,breakfast,"[0.18118950724601746, 0.24938979744911194, 1.0, 0.7990826368331909]",640.0,,train,https://www.youtube.com/watch?v=bUezx9Zp16E,bUezx9Zp16E,bUezx9Zp16E,MS-ASL/videos_MS_ASL_raw/msasl_raw_bUezx9Zp16E.mp4,True,already_exists,0,,25.0,72.0,640.0,360.0,2.88,30
Day,day,26.015,6,-1,647,676,LASL - Ch 6 Vocab,72,358.0,24.87,27.181,https://www.youtube.com/watch?v=jQb9NL9_S6U,day,"[0.003047078847885132, 0.16077789664268494, 0.8473350405693054, 0.7222738265991211]",640.0,1.0,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,31
Day,day,27.181,6,-1,676,731,LASL - Ch 6 Vocab,72,358.0,24.87,29.393,https://www.youtube.com/watch?v=jQb9NL9_S6U,day,"[0.003047078847885132, 0.16077789664268494, 0.8473350405693054, 0.7222738265991211]",640.0,1.0,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,32
Day,day,31.765,6,-1,790,817,LASL - Ch 6 Vocab,72,358.0,24.87,32.851,https://www.youtube.com/watch?v=jQb9NL9_S6U,day,"[0.003047078847885132, 0.16077789664268494, 0.8473350405693054, 0.7222738265991211]",640.0,1.0,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,33
Day,day,59.268,6,-1,1474,1501,LASL - Ch 6 Vocab,72,358.0,24.87,60.354,https://www.youtube.com/watch?v=jQb9NL9_S6U,day,"[0.01384812593460083, 0.19079384207725525, 0.8634046316146851, 0.728234052658081]",640.0,,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,34
Afternoon,afternoon,85.042,6,-1,2115,2149,LASL - Ch 6 Vocab,220,358.0,24.87,86.409,https://www.youtube.com/watch?v=jQb9NL9_S6U,afternoon,"[0.0051187872886657715, 0.15169969201087952, 0.8437644243240356, 0.6587377786636353]",640.0,,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,35
Afternoon,afternoon,87.897,6,-1,2186,2269,LASL - Ch 6 Vocab,220,358.0,24.87,91.234,https://www.youtube.com/watch?v=jQb9NL9_S6U,afternoon,"[0.008230000734329224, 0.08219581842422485, 0.8310046195983887, 0.7094879150390625]",640.0,,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,36
Afternoon,afternoon,92.199,6,-1,2293,2327,LASL - Ch 6 Vocab,220,358.0,24.87,93.566,https://www.youtube.com/watch?v=jQb9NL9_S6U,afternoon,"[0.0003540217876434326, 0.17943048477172852, 0.8313794136047363, 0.78972327709198]",640.0,,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,37
Happy (1 handed),happy,179.01,6,-1,4452,4527,LASL - Ch 6 Vocab,5,358.0,24.87,182.026,https://www.youtube.com/watch?v=jQb9NL9_S6U,happy,"[0.0, 0.15337830781936646, 0.8391363024711609, 0.754059374332428]",640.0,,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,38
Sad,sad,192.882,6,-1,4797,4907,LASL - Ch 6 Vocab,27,358.0,24.87,197.305,https://www.youtube.com/watch?v=jQb9NL9_S6U,sad,"[0.004947155714035034, 0.1667385995388031, 0.8396331071853638, 0.7053645849227905]",640.0,1.0,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,39
Sad,sad,199.919,6,-1,4972,5010,LASL - Ch 6 Vocab,27,358.0,24.87,201.447,https://www.youtube.com/watch?v=jQb9NL9_S6U,sad,"[0.004947155714035034, 0.1667385995388031, 0.8396331071853638, 0.7053645849227905]",640.0,1.0,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,40
Nervous (2 ways),nervous,232.85,6,-1,5791,5836,LASL - Ch 6 Vocab,307,358.0,24.87,234.659,https://www.youtube.com/watch?v=jQb9NL9_S6U,nervous,"[0.0, 0.10074132680892944, 0.8756613731384277, 0.756272554397583]",640.0,1.0,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,41
Nervous (2 ways),nervous,238.761,6,-1,5938,5973,LASL - Ch 6 Vocab,307,358.0,24.87,240.168,https://www.youtube.com/watch?v=jQb9NL9_S6U,nervous,"[0.0, 0.10074132680892944, 0.8756613731384277, 0.756272554397583]",640.0,1.0,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,42
Upset,upset,242.902,6,-1,6041,6208,LASL - Ch 6 Vocab,876,358.0,24.87,249.617,https://www.youtube.com/watch?v=jQb9NL9_S6U,upset,"[0.005143254995346069, 0.12840525805950165, 0.8523186445236206, 0.6992084383964539]",640.0,,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,43
Want (mouth “WA“),want,385.765,6,-1,9594,9751,LASL - Ch 6 Vocab,8,358.0,24.87,392.077,https://www.youtube.com/watch?v=jQb9NL9_S6U,want,"[0.008866041898727417, 0.11897420883178711, 0.843058705329895, 0.7124172449111938]",640.0,,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,44
Know,know,403.738,6,-1,10041,10111,LASL - Ch 6 Vocab,97,358.0,24.87,406.553,https://www.youtube.com/watch?v=jQb9NL9_S6U,know,"[0.0033957362174987793, 0.12913557887077332, 0.8349494934082031, 0.7033343315124512]",640.0,,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,45
Know,know,407.92,6,-1,10145,10175,LASL - Ch 6 Vocab,97,358.0,24.87,409.126,https://www.youtube.com/watch?v=jQb9NL9_S6U,know,"[0.04342085123062134, 0.13719120621681213, 0.8318990468978882, 0.7059469223022461]",640.0,,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,46
Must,must,433.452,6,-1,10780,10870,LASL - Ch 6 Vocab,29,358.0,24.87,437.071,https://www.youtube.com/watch?v=jQb9NL9_S6U,need,"[0.0, 0.08118319511413574, 0.850859522819519, 0.7708654403686523]",640.0,1.0,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,47
How (2 ways),how,489.182,6,-1,12166,12357,LASL - Ch 6 Vocab,59,358.0,24.87,496.862,https://www.youtube.com/watch?v=jQb9NL9_S6U,how,"[0.0200423002243042, 0.1574973464012146, 0.8441125154495239, 0.716306746006012]",640.0,,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,48
Wow,wow,612.221,6,-1,15226,15409,LASL - Ch 6 Vocab,227,358.0,24.87,619.58,https://www.youtube.com/watch?v=jQb9NL9_S6U,wow,"[0.0, 0.0925883948802948, 0.8377703428268433, 0.7041674852371216]",640.0,,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,49
Wow,wow,619.66,6,-1,15411,15459,LASL - Ch 6 Vocab,227,358.0,24.87,621.59,https://www.youtube.com/watch?v=jQb9NL9_S6U,wow,"[0.016192376613616943, 0.1522008776664734, 0.8331984877586365, 0.684462308883667]",640.0,,train,https://www.youtube.com/watch?v=jQb9NL9_S6U,jQb9NL9_S6U,jQb9NL9_S6U,MS-ASL/videos_MS_ASL_raw/msasl_raw_jQb9NL9_S6U.mp4,True,already_exists,0,,25.0,20014.0,640.0,358.0,800.56,50
