row_index,video_id,split,clean_text,url,url_norm,trim_mode,start,end,start_time,end_time,local_video_path,has_video,download_status,error_message,fps_out,frame_count_out,video_width_out,video_height_out,duration_sec_out
11,f1177f1e74fe9f6f,train,phone,https://www.youtube.com/watch?v=HPz_C5XM4o4,https://www.youtube.com/watch?v=HPz_C5XM4o4,frames,73,123,2.462,4.148,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_f1177f1e74fe9f6f_frames.mp4,True,ok,,29.666666666666668,51.0,640.0,360.0,1.7191011235955056
12,3c65bea6c3a3de90,train,phone,https://www.youtube.com/watch?v=HPz_C5XM4o4,https://www.youtube.com/watch?v=HPz_C5XM4o4,frames,148,196,4.991,6.61,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_3c65bea6c3a3de90_frames.mp4,True,ok,,29.666666666666668,49.0,640.0,360.0,1.651685393258427
13,bd995cab60808a48,train,library,https://www.youtube.com/watch?v=S2cqitZ0qes,https://www.youtube.com/watch?v=S2cqitZ0qes,frames,0,73,0.0,2.92,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_bd995cab60808a48_frames.mp4,True,ok,,25.0,74.0,480.0,360.0,2.96
14,347c61373f745825,train,germany,www.youtube.com/watch?v=zqfcp6NRKpA,https://www.youtube.com/watch?v=zqfcp6NRKpA,frames,0,36,0.0,1.201,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_347c61373f745825_frames.mp4,False,failed,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\iwo\\AppData\\Local\\Temp\\msasl_acdq_yob\\raw.%(ext)s', 'https://www.youtube.com/watch?v=zqfcp6NRKpA']' returned non-zero exit status 1.",,,,,
15,07ead325b854884f,train,like,www.youtube.com/watch?v=7y5Ye-2-ZBs,https://www.youtube.com/watch?v=7y5Ye-2-ZBs,frames,0,52,0.0,1.735,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_07ead325b854884f_frames.mp4,False,failed,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\iwo\\AppData\\Local\\Temp\\msasl_84sguu1i\\raw.%(ext)s', 'https://www.youtube.com/watch?v=7y5Ye-2-ZBs']' returned non-zero exit status 1.",,,,,
16,403b2a40a079cc19,train,cochlear implant,https://www.youtube.com/watch?v=I_QDeKcyvns,https://www.youtube.com/watch?v=I_QDeKcyvns,frames,0,112,0.0,3.737,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_403b2a40a079cc19_frames.mp4,True,ok,,29.97002997002997,113.0,640.0,360.0,3.7704333333333335
17,30000dfcc8767369,train,rainbow,https://www.youtube.com/watch?v=WeAFuzYTdtU,https://www.youtube.com/watch?v=WeAFuzYTdtU,frames,54,165,1.804,5.512,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_30000dfcc8767369_frames.mp4,True,ok,,29.97002997002997,112.0,480.0,360.0,3.7370666666666668
18,104bf492224b3b07,train,rainbow,https://www.youtube.com/watch?v=WeAFuzYTdtU,https://www.youtube.com/watch?v=WeAFuzYTdtU,frames,174,269,5.813,8.986,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_104bf492224b3b07_frames.mp4,True,ok,,29.97002997002997,96.0,480.0,360.0,3.2032000000000003
19,9adadf39b5eb0daa,train,rainbow,https://www.youtube.com/watch?v=WeAFuzYTdtU,https://www.youtube.com/watch?v=WeAFuzYTdtU,frames,280,435,9.354,14.532,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_9adadf39b5eb0daa_frames.mp4,True,ok,,29.97002997002997,156.0,480.0,360.0,5.2052000000000005
20,99056d53a1baded4,train,letter,https://www.youtube.com/watch?v=sKbKzPIaFNA,https://www.youtube.com/watch?v=sKbKzPIaFNA,frames,0,73,0.0,2.92,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_99056d53a1baded4_frames.mp4,True,ok,,25.0,74.0,480.0,360.0,2.96
21,4fd8fa7a66b2fd0b,train,from,https://www.youtube.com/watch?v=fQ58eciJmCY,https://www.youtube.com/watch?v=fQ58eciJmCY,frames,0,68,0.0,2.267,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_4fd8fa7a66b2fd0b_frames.mp4,True,ok,,30.0,69.0,320.0,240.0,2.3
22,d2e8f65d24504db3,train,his,https://www.youtube.com/watch?v=GYWm0gdybFA,https://www.youtube.com/watch?v=GYWm0gdybFA,frames,0,108,0.0,3.6,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_d2e8f65d24504db3_frames.mp4,True,ok,,30.0,109.0,640.0,360.0,3.6333333333333333
23,468e6cc8070f26d0,train,hong kong,https://www.youtube.com/watch?v=PIfDfi4Qx60,https://www.youtube.com/watch?v=PIfDfi4Qx60,frames,0,72,0.0,2.402,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_468e6cc8070f26d0_frames.mp4,True,ok,,29.97002997002997,73.0,640.0,360.0,2.435766666666667
24,862850dc5d3f4ba7,train,every morning,https://www.youtube.com/watch?v=fv1nQoXRlsI,https://www.youtube.com/watch?v=fv1nQoXRlsI,frames,0,48,0.0,1.92,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_862850dc5d3f4ba7_frames.mp4,True,ok,,25.0,49.0,480.0,360.0,1.96
25,5cd64027d82e9404,train,france,https://www.youtube.com/watch?v=iJuIO4n0-VU,https://www.youtube.com/watch?v=iJuIO4n0-VU,frames,0,108,0.0,3.64,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_5cd64027d82e9404_frames.mp4,True,ok,,29.669,109.0,640.0,360.0,3.673868347433348
26,6eef0816eec9fe9d,train,give,https://www.youtube.com/watch?v=7G6B6kaMjb4,https://www.youtube.com/watch?v=7G6B6kaMjb4,frames,0,49,0.0,1.96,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_6eef0816eec9fe9d_frames.mp4,True,ok,,25.0,50.0,480.0,360.0,2.0
27,bd43ded8aeb3a7ee,train,shock,https://www.youtube.com/watch?v=XCiFsGrb_Nk,https://www.youtube.com/watch?v=XCiFsGrb_Nk,frames,0,75,0.0,2.502,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_bd43ded8aeb3a7ee_frames.mp4,True,ok,,29.97002997002997,76.0,640.0,360.0,2.5358666666666667
28,adde65d9d28349b4,train,puerto rico,https://www.youtube.com/watch?v=NNZD9RAgL4w,https://www.youtube.com/watch?v=NNZD9RAgL4w,frames,0,86,0.0,2.87,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_adde65d9d28349b4_frames.mp4,True,ok,,29.97002997002997,87.0,640.0,360.0,2.9029000000000003
29,dc7a45dd052aca34,train,portugal,www.youtube.com/watch?v=rYW7VFPi9_w,https://www.youtube.com/watch?v=rYW7VFPi9_w,frames,0,44,0.0,1.468,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_dc7a45dd052aca34_frames.mp4,False,failed,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\iwo\\AppData\\Local\\Temp\\msasl_v_kaig2v\\raw.%(ext)s', 'https://www.youtube.com/watch?v=rYW7VFPi9_w']' returned non-zero exit status 1.",,,,,
30,d7d3a4093e8dc4fa,train,breakfast,https://www.youtube.com/watch?v=bUezx9Zp16E,https://www.youtube.com/watch?v=bUezx9Zp16E,frames,0,73,0.0,2.92,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_d7d3a4093e8dc4fa_frames.mp4,True,ok,,25.0,72.0,640.0,360.0,2.88
31,cd11dad69fa0fbdd,train,day,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,647,676,26.015,27.181,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_cd11dad69fa0fbdd_frames.mp4,True,ok,,25.0,30.0,640.0,358.0,1.2
32,0008b5ad447725f8,train,day,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,676,731,27.181,29.393,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_0008b5ad447725f8_frames.mp4,True,ok,,25.0,56.0,640.0,358.0,2.24
33,8ad795b95ad0b439,train,day,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,790,817,31.765,32.851,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_8ad795b95ad0b439_frames.mp4,True,ok,,25.0,28.0,640.0,358.0,1.12
34,583fedbafc496728,train,day,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,1474,1501,59.268,60.354,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_583fedbafc496728_frames.mp4,True,ok,,25.0,28.0,640.0,358.0,1.12
35,f368ed3db7b23bbd,train,afternoon,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,2115,2149,85.042,86.409,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_f368ed3db7b23bbd_frames.mp4,True,ok,,25.0,35.0,640.0,358.0,1.4
36,276d29cd6d02c032,train,afternoon,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,2186,2269,87.897,91.234,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_276d29cd6d02c032_frames.mp4,True,ok,,25.0,84.0,640.0,358.0,3.36
37,c0b684d7282f9191,train,afternoon,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,2293,2327,92.199,93.566,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_c0b684d7282f9191_frames.mp4,True,ok,,25.0,35.0,640.0,358.0,1.4
38,d2785ca6f09b40b9,train,happy,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,4452,4527,179.01,182.026,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_d2785ca6f09b40b9_frames.mp4,True,ok,,25.0,76.0,640.0,358.0,3.04
39,5c5f0d2242b1062b,train,sad,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,4797,4907,192.882,197.305,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_5c5f0d2242b1062b_frames.mp4,True,ok,,25.0,111.0,640.0,358.0,4.44
40,02fcc62988400584,train,sad,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,4972,5010,199.919,201.447,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_02fcc62988400584_frames.mp4,True,ok,,25.0,39.0,640.0,358.0,1.56
41,f07050a028fc01ab,train,nervous,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,5791,5836,232.85,234.659,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_f07050a028fc01ab_frames.mp4,True,ok,,25.0,46.0,640.0,358.0,1.84
42,331288221a7c6c87,train,nervous,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,5938,5973,238.761,240.168,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_331288221a7c6c87_frames.mp4,True,ok,,25.0,36.0,640.0,358.0,1.44
43,1138b6cd43983d6d,train,upset,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,6041,6208,242.902,249.617,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_1138b6cd43983d6d_frames.mp4,True,ok,,25.0,168.0,640.0,358.0,6.72
44,fd7ab3dd8780a3c6,train,want,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,9594,9751,385.765,392.077,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_fd7ab3dd8780a3c6_frames.mp4,True,ok,,25.0,158.0,640.0,358.0,6.32
45,f0db0ace940971cb,train,know,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,10041,10111,403.738,406.553,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_f0db0ace940971cb_frames.mp4,True,ok,,25.0,71.0,640.0,358.0,2.84
46,c772ad0c5c8e27da,train,know,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,10145,10175,407.92,409.126,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_c772ad0c5c8e27da_frames.mp4,True,ok,,25.0,31.0,640.0,358.0,1.24
47,2256d6acae5905cb,train,must,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,10780,10870,433.452,437.071,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_2256d6acae5905cb_frames.mp4,True,ok,,25.0,91.0,640.0,358.0,3.64
48,162fcf8388bce3df,train,how,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,12166,12357,489.182,496.862,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_162fcf8388bce3df_frames.mp4,True,ok,,25.0,192.0,640.0,358.0,7.68
49,a9618b9c240a46e1,train,wow,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,frames,15226,15409,612.221,619.58,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_a9618b9c240a46e1_frames.mp4,True,ok,,25.0,184.0,640.0,358.0,7.36
50,f793eaec4460da11,train,wow,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,seconds,15411,15459,619.66,621.59,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_f793eaec4460da11_seconds.mp4,True,ok,,25.0,49.0,640.0,358.0,1.96
51,5d25363b540e1c1f,train,pass,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,seconds,17138,17161,689.101,690.026,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_5d25363b540e1c1f_seconds.mp4,True,ok,,25.0,24.0,640.0,358.0,0.96
52,39428f27c0c5ddff,train,pass,https://www.youtube.com/watch?v=jQb9NL9_S6U,https://www.youtube.com/watch?v=jQb9NL9_S6U,seconds,17190,17304,691.192,695.776,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_39428f27c0c5ddff_seconds.mp4,True,ok,,25.0,115.0,640.0,358.0,4.6
53,21aafbe91901d782,train,think,https://www.youtube.com/watch?v=Y5q-PccHNHo,https://www.youtube.com/watch?v=Y5q-PccHNHo,seconds,0,77,0.0,2.569,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_21aafbe91901d782_seconds.mp4,True,ok,,29.97002997002997,77.0,540.0,360.0,2.5692333333333335
54,cb4a1ee35a54b12b,train,yellow,https://www.youtube.com/watch?v=0Beq_NIDj2c,https://www.youtube.com/watch?v=0Beq_NIDj2c,seconds,10,60,0.334,2.002,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_cb4a1ee35a54b12b_seconds.mp4,False,failed,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\iwo\\AppData\\Local\\Temp\\msasl_7qfgqnea\\raw.%(ext)s', 'https://www.youtube.com/watch?v=0Beq_NIDj2c']' returned non-zero exit status 1.",,,,,
55,2359d53bc084c0ea,train,yellow,https://www.youtube.com/watch?v=0Beq_NIDj2c,https://www.youtube.com/watch?v=0Beq_NIDj2c,seconds,90,160,3.003,5.339,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_2359d53bc084c0ea_seconds.mp4,False,failed,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\iwo\\AppData\\Local\\Temp\\msasl_b9n7wf_p\\raw.%(ext)s', 'https://www.youtube.com/watch?v=0Beq_NIDj2c']' returned non-zero exit status 1.",,,,,
56,725652d26e3a1fa4,train,teacher,https://www.youtube.com/watch?v=_HOx2QkkTsg,https://www.youtube.com/watch?v=_HOx2QkkTsg,seconds,419,464,13.995,15.498,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_725652d26e3a1fa4_seconds.mp4,True,ok,,29.97002997002997,46.0,480.0,360.0,1.5348666666666666
57,3e190f81afa10188,train,teacher,https://www.youtube.com/watch?v=_HOx2QkkTsg,https://www.youtube.com/watch?v=_HOx2QkkTsg,seconds,464,510,15.498,17.034,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_3e190f81afa10188_seconds.mp4,True,ok,,29.97002997002997,47.0,480.0,360.0,1.5682333333333334
58,c846415e3711d3fb,train,deaf,www.youtube.com/watch?v=IgT0jDp56ZM,https://www.youtube.com/watch?v=IgT0jDp56ZM,seconds,0,107,0.0,3.577,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_c846415e3711d3fb_seconds.mp4,True,ok,,29.97002997002997,108.0,640.0,360.0,3.6036
59,993c0050918545b4,train,university,https://www.youtube.com/watch?v=jrQalROeZtg,https://www.youtube.com/watch?v=jrQalROeZtg,seconds,0,96,0.0,3.2,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_993c0050918545b4_seconds.mp4,True,ok,,30.0,96.0,640.0,360.0,3.2
60,f58f8c9387893f6b,train,fix,https://www.youtube.com/watch?v=FL6MaUJmIkA,https://www.youtube.com/watch?v=FL6MaUJmIkA,seconds,0,79,0.0,2.636,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_f58f8c9387893f6b_seconds.mp4,True,ok,,29.97002997002997,80.0,640.0,360.0,2.6693333333333333
61,c2233f6ff1e04692,train,clock,https://www.youtube.com/watch?v=pAoM56DCisM,https://www.youtube.com/watch?v=pAoM56DCisM,seconds,0,77,0.0,2.569,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_c2233f6ff1e04692_seconds.mp4,True,ok,,29.97002997002997,77.0,640.0,360.0,2.5692333333333335
62,4c5fc79ecb45bdca,train,there,https://www.youtube.com/watch?v=5WevUel4BPk,https://www.youtube.com/watch?v=5WevUel4BPk,seconds,0,148,0.0,5.0,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_4c5fc79ecb45bdca_seconds.mp4,True,ok,,29.583333333333332,149.0,640.0,360.0,5.0366197183098596
63,b6381919c630e2f5,train,next week,https://www.youtube.com/watch?v=I1o0fccwWSg,https://www.youtube.com/watch?v=I1o0fccwWSg,seconds,0,116,0.0,3.913,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_b6381919c630e2f5_seconds.mp4,True,ok,,29.645,116.0,640.0,360.0,3.9129701467363804
64,6feb50fc567bdcc9,train,again,www.youtube.com/watch?v=AoQAPgEUIAs,https://www.youtube.com/watch?v=AoQAPgEUIAs,seconds,0,117,0.0,3.9,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_6feb50fc567bdcc9_seconds.mp4,False,failed,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\iwo\\AppData\\Local\\Temp\\msasl_sk6t6ry8\\raw.%(ext)s', 'https://www.youtube.com/watch?v=AoQAPgEUIAs']' returned non-zero exit status 1.",,,,,
65,09a27a3c8fcbd762,train,sick,https://www.youtube.com/watch?v=NBqpHJiufXU,https://www.youtube.com/watch?v=NBqpHJiufXU,seconds,0,78,0.0,2.603,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_09a27a3c8fcbd762_seconds.mp4,True,ok,,29.97002997002997,79.0,640.0,360.0,2.6359666666666666
66,3d51474fd3cf6f07,train,meat,https://www.youtube.com/watch?v=Bn7j1v1ksl0,https://www.youtube.com/watch?v=Bn7j1v1ksl0,seconds,0,90,0.0,3.6,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_3d51474fd3cf6f07_seconds.mp4,True,ok,,25.0,90.0,480.0,360.0,3.6
67,afe90a7027a5893f,train,important,https://www.youtube.com/watch?v=V_dT923VQ70,https://www.youtube.com/watch?v=V_dT923VQ70,seconds,0,75,0.0,2.502,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_afe90a7027a5893f_seconds.mp4,True,ok,,29.97002997002997,75.0,640.0,360.0,2.5025
68,1c108eae3e00613e,train,football,www.youtube.com/watch?v=25BrmaKbzYo,https://www.youtube.com/watch?v=25BrmaKbzYo,seconds,0,116,0.0,3.871,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_1c108eae3e00613e_seconds.mp4,False,failed,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\iwo\\AppData\\Local\\Temp\\msasl_mh_50vca\\raw.%(ext)s', 'https://www.youtube.com/watch?v=25BrmaKbzYo']' returned non-zero exit status 1.",,,,,
69,366dcfc6bffce4cd,train,mother,https://www.youtube.com/watch?v=htsdwxJ-fTo,https://www.youtube.com/watch?v=htsdwxJ-fTo,seconds,144,198,4.805,6.607,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_366dcfc6bffce4cd_seconds.mp4,False,failed,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\iwo\\AppData\\Local\\Temp\\msasl_npo_gzme\\raw.%(ext)s', 'https://www.youtube.com/watch?v=htsdwxJ-fTo']' returned non-zero exit status 1.",,,,,
70,009a3367604e3695,train,father,https://www.youtube.com/watch?v=htsdwxJ-fTo,https://www.youtube.com/watch?v=htsdwxJ-fTo,seconds,216,284,7.207,9.476,D:\college\sem_mag_1\szum\videos_MS_ASL\msasl_train_009a3367604e3695_seconds.mp4,False,failed,"Command '['yt-dlp', '--no-playlist', '-f', 'best[height<=720]/best[height<=480]/best', '-o', 'C:\\Users\\iwo\\AppData\\Local\\Temp\\msasl__cs9zwyz\\raw.%(ext)s', 'https://www.youtube.com/watch?v=htsdwxJ-fTo']' returned non-zero exit status 1.",,,,,
